commit	val_bpb	memory_gb	status	description
dae3c88	0.612558	7.1	discard	WEIGHT_DECAY 0.2->0.4 regression vs baseline 0.594 (steps 1722->1039)
de4ebcd	0.613245	7.1	discard	WARMDOWN_RATIO 0.7->0.85 regression vs baseline 0.594 (steps 1722->1032)
bf59869	0.612592	7.1	keep	BASELINE RERUN: same commit, slower node (1041 steps vs 1722). New effective baseline 0.6126
c979673	0.613379	7.1	discard	Muon ns_steps 5->3 (vs node baseline 0.6126; no speedup, slightly worse)
630bffd	0.612160	7.1	keep	Muon momentum warmup 300->100 steps (-0.000432 vs 0.6126; small improvement)
b672e6e	0.617058	6.6	discard	MLP 4x->3x regression vs 0.6122 (capacity loss outweighs step gain)
9bfe08d	0.612435	7.1	discard	EMBEDDING_LR 0.6->0.8 marginal regression vs 0.6122
a046891	0.608676	7.1	keep	UNEMBEDDING_LR 0.004->0.008 (-0.0035 vs 0.6122; meaningful improvement)
3c396bd	0.611005	7.1	discard	UNEMBEDDING_LR 0.008->0.016 too aggressive (vs 0.6087); 0.008 is sweet spot
c75ce4c	0.609186	7.1	discard	MATRIX_LR 0.04->0.06 marginal regression vs 0.6087
4d86ac7	0.609754	7.1	discard	SCALAR_LR 0.5->0.3 regression vs 0.6087
2438d63	0.609684	7.1	discard	x0_lambdas init 0.1->0.0 regression vs 0.6087
3b84029	0.610436	7.1	discard	rotary base 10000->1000 regression vs 0.6087
5ef8416	0.609141	7.1	discard	WARMDOWN_RATIO 0.7->0.6 marginal regression vs 0.6087
53700c9	0.611431	7.1	discard	GRADIENT_CLIP_NORM None->0.5 regression vs 0.6087
823f314	0.609974	7.1	discard	WEIGHT_DECAY 0.2->0.1 regression vs 0.6087
e557a8c	0.609109	7.1	discard	SCALAR_LR 0.5->0.7 marginal regression vs 0.6087
a046891	0.609110	7.1	keep	BASELINE RERUN at HEAD a046891 (1036 steps); on-node noise ~+/-0.0005; new effective baseline 0.6091
40ed414	0.609400	7.1	discard	ADAM_BETAS beta2 0.95->0.98 within noise of 0.6091 baseline
b20ca6e	0.614522	7.3	discard	residual dropout 0.05 regression vs 0.6091 (undertrained regime hurt by dropout)
9d2c1f1	0.609886	7.1	discard	SOFTCAP 15->10 within noise of 0.6091 baseline
1c3b3db	0.610241	7.1	discard	rotary base 10000->50000 within noise of 0.6091 baseline
5894e6f	0.609903	7.1	discard	EMBEDDING_LR 0.6->0.5 within noise of 0.6091 baseline
201c36a	0.609639	7.1	discard	WINDOW_PATTERN L->S within noise; no step gain (attn not bottleneck)
0d76eac	0.611173	7.1	discard	MATRIX_LR 0.04->0.03 small regression vs 0.6091 baseline
d08cdbe	0.609130	7.1	discard	paired LR scale x1.25 (EMB/UNEMB/MATRIX) within noise of 0.6091
